# Missing ingredients from recipe NLG dataset
#
# Columns: ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
# Categories/subcategories may be NEW (see MISSING_CATEGORIES.txt and MISSING_SUBCATEGORIES.txt).
# Major group: animal | plant | dairy (drives sphere RGB color).
#
ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
cabernet wine,Alcoholic beverages,Wine,Condiments & sauces,plant
cabrales cheese,Aged cheese,Aged cheese,Dairy,dairy
cacao,Sweets,Chocolate,Sweets,plant
cacao powder,Sweets,Chocolate,Sweets,plant
cachaca,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
caciocavallo cheese,Aged cheese,Aged cheese,Dairy,dairy
caerphilly cheese,Aged cheese,Aged cheese,Dairy,dairy
caesar croutons,Bread & baked goods,Croutons,Grains,plant
caesar salad,Leafy greens,Lettuce,Vegetables,plant
caesar salad croutons,Bread & baked goods,Croutons,Grains,plant
cajun,Spice blends,American blends,Herbs & spices,plant
cajun spice,Spice blends,American blends,Herbs & spices,plant
cajun spice blend,Spice blends,American blends,Herbs & spices,plant
cajun spice mix,Spice blends,American blends,Herbs & spices,plant
cajun spices,Spice blends,American blends,Herbs & spices,plant
cajun style stewed,Spice blends,American blends,Herbs & spices,plant
cake,Prepared mixes,Cake mixes,Sweets,plant
cake batter,Prepared mixes,Cake mixes,Sweets,plant
cake coloring,Extracts & essences,Food coloring,Herbs & spices,plant
cake crumbs,Prepared mixes,Cake mixes,Sweets,plant
cake cubes,Prepared mixes,Cake mixes,Sweets,plant
cake decorating gel,Prepared mixes,Cake mixes,Sweets,plant
cake decorations,Prepared mixes,Cake mixes,Sweets,plant
cake fingers,Prepared mixes,Cake mixes,Sweets,plant
cake firm,Prepared mixes,Cake mixes,Sweets,plant
cake frosting,Prepared mixes,Cake mixes,Sweets,plant
cake ingredients,Prepared mixes,Cake mixes,Sweets,plant
cake layer,Prepared mixes,Cake mixes,Sweets,plant
cake layers,Prepared mixes,Cake mixes,Sweets,plant
cake meal,Prepared mixes,Cake mixes,Sweets,plant
cake mix,Prepared mixes,Cake mixes,Sweets,plant
cake mix yellow,Prepared mixes,Cake mixes,Sweets,plant
cake pan,Prepared mixes,Cake mixes,Sweets,plant
cake pans,Prepared mixes,Cake mixes,Sweets,plant
cake paraffin,Prepared mixes,Cake mixes,Sweets,plant
cake round,Prepared mixes,Cake mixes,Sweets,plant
cake shells,Prepared mixes,Cake mixes,Sweets,plant
cake spice,Prepared mixes,Cake mixes,Sweets,plant
cakes,Prepared mixes,Cake mixes,Sweets,plant
calabrian chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
calamari,Shellfish,Cephalopods,Protein (animal),animal
calamari rings,Shellfish,Cephalopods,Protein (animal),animal
calamari tubes,Shellfish,Cephalopods,Protein (animal),animal
california chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
california chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
california green chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
calvados,Alcoholic beverages,Brandy,Condiments & sauces,plant
calves liver,Organ meats,Liver,Protein (animal),animal
cambozola cheese,Aged cheese,Aged cheese,Dairy,dairy
camomile tea,Coffee & tea,Tea,Herbs & spices,plant
campari,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
campbell's cheese soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
campbell's nacho cheese soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
campbell's vegetable soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
canadian rye whisky,Alcoholic beverages,Whisky,Condiments & sauces,plant
canadian whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
candied citron,Dried fruits,Dried fruits,Fruits,plant
candied citron peel,Dried fruits,Dried fruits,Fruits,plant
candied fruit,Dried fruits,Dried fruits,Fruits,plant
candied fruit mix,Dried fruits,Dried fruits,Fruits,plant
candied fruits,Dried fruits,Dried fruits,Fruits,plant
candied mixed fruit,Dried fruits,Dried fruits,Fruits,plant
candied mixed fruit peel,Dried fruits,Dried fruits,Fruits,plant
candied nuts,Nuts,Tree nuts,Nuts & seeds,plant
candies,Sweets,Confectionery,Sweets,plant
candy,Sweets,Confectionery,Sweets,plant
candy bar,Sweets,Confectionery,Sweets,plant
candy bars,Sweets,Confectionery,Sweets,plant
candy cane,Sweets,Confectionery,Sweets,plant
candy canes,Sweets,Confectionery,Sweets,plant
candy kisses,Sweets,Confectionery,Sweets,plant
candy sprinkles,Sweets,Confectionery,Sweets,plant
cane kisses,Sweets,Chocolate,Sweets,plant
cane syrup,Sweets,Syrup,Sweets,plant
cane vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
canned biscuits,Bread & baked goods,Biscuits,Grains,plant
canned chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
canned crabmeat,Shellfish,Crab,Protein (animal),animal
cannellini,Legumes,Beans,Protein (plant),plant
cannelloni,Refined grains,Pasta,Grains,plant
cannelloni tubes,Refined grains,Pasta,Grains,plant
canning salt,Salt & seasonings,Salt,Herbs & spices,plant
canning-and-pickling salt,Salt & seasonings,Salt,Herbs & spices,plant
cannoli shells,Refined grains,Pasta,Grains,plant
canola margarine,Margarine & shortening,Margarine,Fats & oils,plant
canola soft margarine,Margarine & shortening,Margarine,Fats & oils,plant
canola-based soft margarine,Margarine & shortening,Margarine,Fats & oils,plant
cans albacore,Oily fish,Tuna,Protein (animal),animal
cans biscuits,Bread & baked goods,Biscuits,Grains,plant
cans chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
cans crabmeat,Shellfish,Crab,Protein (animal),animal
cantal cheese,Aged cheese,Aged cheese,Dairy,dairy
cap'n crunch cereal,Prepared mixes,Cereals,Grains,plant
capellini,Refined grains,Pasta,Grains,plant
caper,Pickled vegetables,Capers,Condiments & sauces,plant
caper berries,Pickled vegetables,Capers,Condiments & sauces,plant
caper brine,Pickled vegetables,Capers,Condiments & sauces,plant
caper juice,Pickled vegetables,Capers,Condiments & sauces,plant
capers,Pickled vegetables,Capers,Condiments & sauces,plant
capsicum,Non-starchy vegetables,Bell pepper,Vegetables,plant
capsicums,Non-starchy vegetables,Bell pepper,Vegetables,plant
carambola,Fruits,Tropical,Fruits,plant
carambolas,Fruits,Tropical,Fruits,plant
caravella limoncello,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
caraway,Dried spices,Seed spices,Herbs & spices,plant
cardamon,Dried spices,Ground spices,Herbs & spices,plant
cardamon pods,Dried spices,Ground spices,Herbs & spices,plant
cardamon powder,Dried spices,Ground spices,Herbs & spices,plant
cardamon seed,Dried spices,Ground spices,Herbs & spices,plant
cardamon seeds,Dried spices,Ground spices,Herbs & spices,plant
caribbean jerk marinade,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
carob,Sweets,Chocolate,Sweets,plant
carob chips,Sweets,Chocolate,Sweets,plant
carob powder,Sweets,Chocolate,Sweets,plant
carom seeds,Seeds,Seeds,Nuts & seeds,plant
carton whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
cartons whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
castor oil,Oils,Vegetable oils,Fats & oils,plant
catalina dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
cauliflowerets,Cruciferous vegetables,Cauliflower,Vegetables,plant
cavatappi,Refined grains,Pasta,Grains,plant
cayenne,Dried spices,Chili powders,Herbs & spices,plant
cayenne chiles,Dried spices,Chili powders,Herbs & spices,plant
cayenne chilies,Dried spices,Chili powders,Herbs & spices,plant
cayenne optional,Dried spices,Chili powders,Herbs & spices,plant
cayenne powder,Dried spices,Chili powders,Herbs & spices,plant
cayenne pwdr,Dried spices,Chili powders,Herbs & spices,plant
celtic salt,Salt & seasonings,Salt,Herbs & spices,plant
celtic sea salt,Salt & seasonings,Salt,Herbs & spices,plant
cereal,Prepared mixes,Cereals,Grains,plant
cereal crumbs,Prepared mixes,Cereals,Grains,plant
cereal flakes,Prepared mixes,Cereals,Grains,plant
cereal nuggets,Prepared mixes,Cereals,Grains,plant
cereal squares,Prepared mixes,Cereals,Grains,plant
cereals,Prepared mixes,Cereals,Grains,plant
chablis,Alcoholic beverages,Wine,Condiments & sauces,plant
chablis wine,Alcoholic beverages,Wine,Condiments & sauces,plant
chachere's cajun,Spice blends,American blends,Herbs & spices,plant
chai,Coffee & tea,Tea,Herbs & spices,plant
chai tea,Coffee & tea,Tea,Herbs & spices,plant
challah,Bread & baked goods,Bread,Grains,plant
chamomile tea,Coffee & tea,Tea,Herbs & spices,plant
champagne,Alcoholic beverages,Wine,Condiments & sauces,plant
champagne vinegar,Alcoholic beverages,Wine,Condiments & sauces,plant
chana masala,Spice blends,Indian blends,Herbs & spices,plant
channa dal,Legumes,Lentils,Protein (plant),plant
chanterelle,Non-starchy vegetables,Mushrooms,Vegetables,plant
chanterelles,Non-starchy vegetables,Mushrooms,Vegetables,plant
chard,Leafy greens,Chard,Vegetables,plant
chard leaves,Leafy greens,Chard,Vegetables,plant
chard stems,Leafy greens,Chard,Vegetables,plant
chardonnay,Alcoholic beverages,Wine,Condiments & sauces,plant
chardonnay vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
chardonnay wine,Alcoholic beverages,Wine,Condiments & sauces,plant
chat masala,Spice blends,Indian blends,Herbs & spices,plant
cheap beer,Alcoholic beverages,Beer,Condiments & sauces,plant
cheap red wine,Alcoholic beverages,Wine,Condiments & sauces,plant
chedder cheese,Aged cheese,Aged cheese,Dairy,dairy
cheerios,Prepared mixes,Cereals,Grains,plant
cheese blend,Aged cheese,Aged cheese,Dairy,dairy
cheese cloth,Aged cheese,Aged cheese,Dairy,dairy
cheese cracker crumbs,Bread & baked goods,Crackers,Grains,plant
cheese crackers,Bread & baked goods,Crackers,Grains,plant
cheese croutons,Bread & baked goods,Croutons,Grains,plant
cheese crumbles,Aged cheese,Aged cheese,Dairy,dairy
cheese curds,Aged cheese,Aged cheese,Dairy,dairy
cheese dip,Aged cheese,Aged cheese,Dairy,dairy
cheese food,Processed cheese,Processed cheese,Dairy,dairy
cheese grits,Aged cheese,Aged cheese,Dairy,dairy
cheese mix,Aged cheese,Aged cheese,Dairy,dairy
cheese nips,Aged cheese,Aged cheese,Dairy,dairy
cheese panela,Aged cheese,Aged cheese,Dairy,dairy
cheese ravioli,Refined grains,Pasta,Grains,plant
cheese rind,Aged cheese,Aged cheese,Dairy,dairy
cheese salad dressing,Aged cheese,Aged cheese,Dairy,dairy
cheese slice,Aged cheese,Aged cheese,Dairy,dairy
cheese slices,Aged cheese,Aged cheese,Dairy,dairy
cheese soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
cheese spread,Processed cheese,Processed cheese,Dairy,dairy
cheese tortellini,Refined grains,Pasta,Grains,plant
cheese whip,Aged cheese,Aged cheese,Dairy,dairy
cheese whiz,Aged cheese,Aged cheese,Dairy,dairy
cheeses,Aged cheese,Aged cheese,Dairy,dairy
cheez whiz,Processed cheese,Processed cheese,Dairy,dairy
chervil,Fresh herbs,Soft herbs,Herbs & spices,plant
chervil leaves,Fresh herbs,Soft herbs,Herbs & spices,plant
chervil sprigs,Fresh herbs,Soft herbs,Herbs & spices,plant
cheshire cheese,Aged cheese,Aged cheese,Dairy,dairy
chevre,Fresh cheese,Fresh cheese,Dairy,dairy
chevre cheese,Aged cheese,Aged cheese,Dairy,dairy
chianti,Alcoholic beverages,Wine,Condiments & sauces,plant
chianti wine,Alcoholic beverages,Wine,Condiments & sauces,plant
chick peas,Legumes,Peas,Protein (plant),plant
chick-peas,Legumes,Chickpea,Protein (plant),plant
chicory coffee,Coffee & tea,Coffee,Herbs & spices,plant
chicory lettuce,Leafy greens,Lettuce,Vegetables,plant
chihuahua cheese,Aged cheese,Aged cheese,Dairy,dairy
chikuwa,Shellfish,Other,Protein (animal),animal
chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
chile ancho,Non-starchy vegetables,Chili peppers,Vegetables,plant
chile caribe,Non-starchy vegetables,Chili peppers,Vegetables,plant
chile de arbol,Non-starchy vegetables,Chili peppers,Vegetables,plant
chile de arbol powder,Non-starchy vegetables,Chili peppers,Vegetables,plant
chile flakes,Non-starchy vegetables,Chili peppers,Vegetables,plant
chile oil,Non-starchy vegetables,Chili peppers,Vegetables,plant
chile paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
chile powder,Dried spices,Chili powders,Herbs & spices,plant
chile puree,Non-starchy vegetables,Chili peppers,Vegetables,plant
chile pwdr,Non-starchy vegetables,Chili peppers,Vegetables,plant
chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili blend,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili cheese,Aged cheese,Aged cheese,Dairy,dairy
chili cheese fritos,Aged cheese,Aged cheese,Dairy,dairy
chili con carne,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili flake,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili flakes,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili meat,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili mix,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili pods,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili power,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili pwdr,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili seasoning,Spice blends,American blends,Herbs & spices,plant
chili seasoning mix,Spice blends,American blends,Herbs & spices,plant
chili seasonings,Spice blends,American blends,Herbs & spices,plant
chili with,Non-starchy vegetables,Chili peppers,Vegetables,plant
chili-o seasoning mix,Spice blends,American blends,Herbs & spices,plant
chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
chilis,Non-starchy vegetables,Chili peppers,Vegetables,plant
chilled beer,Alcoholic beverages,Beer,Condiments & sauces,plant
chilled champagne,Alcoholic beverages,Wine,Condiments & sauces,plant
chilled creme fraiche,Fermented dairy,Cultured milk,Dairy,dairy
chilled green tea,Coffee & tea,Tea,Herbs & spices,plant
chilled margarine,Margarine & shortening,Margarine,Fats & oils,plant
chilled prosecco,Alcoholic beverages,Wine,Condiments & sauces,plant
chilled seltzer,Soft drinks,Soft drinks,Sweets,plant
chilled soda water,Soft drinks,Soft drinks,Sweets,plant
chilled sparkling water,Soft drinks,Soft drinks,Sweets,plant
chilled vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
chilli,Non-starchy vegetables,Chili peppers,Vegetables,plant
chilli flakes,Non-starchy vegetables,Chili peppers,Vegetables,plant
chilli oil,Oils,Vegetable oils,Fats & oils,plant
chilli paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
chilli powder,Dried spices,Chili powders,Herbs & spices,plant
chilli pwdr,Non-starchy vegetables,Chili peppers,Vegetables,plant
chilli seasoning,Spice blends,American blends,Herbs & spices,plant
chillies,Non-starchy vegetables,Chili peppers,Vegetables,plant
chillis,Non-starchy vegetables,Chili peppers,Vegetables,plant
chilly,Non-starchy vegetables,Chili peppers,Vegetables,plant
chilly powder,Non-starchy vegetables,Chili peppers,Vegetables,plant
chinese chili paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
chinese cooking wine,Alcoholic beverages,Wine,Condiments & sauces,plant
chinese five spice,Spice blends,American blends,Herbs & spices,plant
chinese five-spice,Spice blends,Chinese blends,Herbs & spices,plant
chinese pea pods,Legumes,Peas,Protein (plant),plant
chinese peas,Legumes,Peas,Protein (plant),plant
chinese sesame paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
chinese soup stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
chinkiang vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
chipotle,Non-starchy vegetables,Chili peppers,Vegetables,plant
chipotle chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
chipotle chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
chipotle chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
chipotle chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
chipotle chilis,Non-starchy vegetables,Chili peppers,Vegetables,plant
chipotle powder,Non-starchy vegetables,Chili peppers,Vegetables,plant
chipotle puree,Non-starchy vegetables,Chili peppers,Vegetables,plant
chipotle seasoning,Spice blends,American blends,Herbs & spices,plant
chipotles,Non-starchy vegetables,Chili peppers,Vegetables,plant
chix broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
chopped cheese,Aged cheese,Aged cheese,Dairy,dairy
chopped coriander,Dried spices,Seed spices,Herbs & spices,plant
chopped jalapenos,Non-starchy vegetables,Chili peppers,Vegetables,plant
chopped lettuce,Leafy greens,Lettuce,Vegetables,plant
chopped meat,Red meat,Ground beef,Protein (animal),animal
chopped nutmeats,Nuts,Tree nuts,Nuts & seeds,plant
chopped oil,Oils,Vegetable oils,Fats & oils,plant
chopped romaine,Leafy greens,Lettuce,Vegetables,plant
chops,Red meat,Beef,Protein (animal),animal
choy,Leafy greens,Asian greens,Vegetables,plant
chuck,Red meat,Beef,Protein (animal),animal
chuck meat,Red meat,Beef,Protein (animal),animal
chuck steak,Red meat,Beef,Protein (animal),animal
chuck steaks,Red meat,Beef,Protein (animal),animal
chunky fruit cocktail,Prepared mixes,Pie fillings,Sweets,plant
chunky mixed fruit,Fruits,Other fruits,Fruits,plant
cidar vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
cider,Alcoholic beverages,Cider,Condiments & sauces,plant
citric acid,Baking ingredients,Setting agents,Grains,plant
citron,Dried fruits,Dried fruits,Fruits,plant
citron peel,Dried fruits,Dried fruits,Fruits,plant
citron vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
clamato,Juices,Fruit juices,Fruits,plant
clamato juice,Juices,Fruit juices,Fruits,plant
claw crabmeat,Shellfish,Crab,Protein (animal),animal
clean snow,Legumes,Peas,Protein (plant),plant
clear broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
clear rum,Alcoholic beverages,Rum,Condiments & sauces,plant
clear vanilla,Extracts & essences,Extracts,Herbs & spices,plant
clementine,Fruits,Citrus,Fruits,plant
clementine juice,Fruits,Citrus,Fruits,plant
clementine zest,Fruits,Citrus,Fruits,plant
